"species"	"detection_cue"	"minute"	"distance_m"	"fragment"	"point"	"microhabitat"	"date"	"start_time"	"end_time"	"route"	"page_number"	"notes"
"Amaurospiza_moesta"	"aural"	"0-3"	"0-10"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Saltator_similis"	"aural"	"0-3"	"0-10"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Synallaxis_ruficapilla"	"aural"	"0-3"	"0-10"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Paroaria_coronata"	"aural"	"0-3"	"10-25"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Thamnophilus_caerulescens"	"aural"	"0-3"	"10-25"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Thamnophilus_caerulescens"	"aural"	"0-3"	"10-25"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Leptotila_verreauxi"	"aural"	"0-3"	"10-25"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Basileuterus_culicivorus"	"aural"	"0-3"	"10-25"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Paroaria_coronata"	"aural"	"0-3"	"25-50"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Leptotila_verreauxi"	"aural"	"0-3"	"25-50"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Conopophaga_lineata"	"aural"	"0-3"	"25-50"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Syndactyla_rufosuperciliata"	"aural"	"0-3"	"25-50"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Syndactyla_rufosuperciliata"	"aural"	"0-3"	"25-50"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Pitangus_sulphuratus"	"aural"	"0-3"	"25-50"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Basileuterus_culicivorus"	"aural"	"0-3"	"25-50"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Myiothlypis_leucoblephara"	"aural"	"3-5"	"10-25"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Myiothlypis_leucoblephara"	"aural"	"3-5"	"25-50"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Furnarius_rufus"	"aural"	"3-5"	"25-50"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Vanellus_chilensis"	"aural"	"3-5"	"50"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
"Turdus_rufiventris"	"aural"	"5-10"	"25-50"	"A"	1	"Clareira/taquara"	"2025-09-23"	"06:03"	"06:13"	"1-12"	1	NA
