"species"	"detection_cue"	"record_start_time"	"record_end_time"	"record_distance_min"	"record_distance_max"	"record_inside_fragment"	"date"	"visit"	"fragment"	"point"	"point_count_code"	"microhabitat"	"longitude"	"latitude"
"Amaurospiza_moesta"	"aural"	"06:03"	"06:06"	0	10	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Basileuterus_culicivorus"	"aural"	"06:03"	"06:06"	10	25	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Basileuterus_culicivorus"	"aural"	"06:03"	"06:06"	25	50	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Conopophaga_lineata"	"aural"	"06:03"	"06:06"	25	50	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Leptotila_verreauxi"	"aural"	"06:03"	"06:06"	10	25	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Leptotila_verreauxi"	"aural"	"06:03"	"06:06"	25	50	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Paroaria_coronata"	"aural"	"06:03"	"06:06"	10	25	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Paroaria_coronata"	"aural"	"06:03"	"06:06"	25	50	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Pitangus_sulphuratus"	"aural"	"06:03"	"06:06"	25	50	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Saltator_similis"	"aural"	"06:03"	"06:06"	0	10	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Synallaxis_ruficapilla"	"aural"	"06:03"	"06:06"	0	10	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Syndactyla_rufosuperciliata"	"aural"	"06:03"	"06:06"	25	50	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Syndactyla_rufosuperciliata"	"aural"	"06:03"	"06:06"	25	50	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Thamnophilus_caerulescens"	"aural"	"06:03"	"06:06"	10	25	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Thamnophilus_caerulescens"	"aural"	"06:03"	"06:06"	10	25	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Furnarius_rufus"	"aural"	"06:06"	"06:08"	25	50	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Myiothlypis_leucoblephara"	"aural"	"06:06"	"06:08"	10	25	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Myiothlypis_leucoblephara"	"aural"	"06:06"	"06:08"	25	50	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Vanellus_chilensis"	"aural"	"06:06"	"06:08"	50	Inf	FALSE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Turdus_rufiventris"	"aural"	"06:08"	"06:13"	25	50	TRUE	"2025-09-23"	1	"A"	1	"A01"	"clareira/taquara"	-54.45112	-27.929422
"Amaurospiza_moesta"	"aural"	"06:18"	"06:21"	25	50	TRUE	"2025-09-23"	1	"A"	2	"A02"	"clareira/taquara"	-54.451109	-27.929873
"Basileuterus_culicivorus"	"aural"	"06:18"	"06:21"	10	25	TRUE	"2025-09-23"	1	"A"	2	"A02"	"clareira/taquara"	-54.451109	-27.929873
"Basileuterus_culicivorus"	"aural"	"06:18"	"06:21"	25	50	TRUE	"2025-09-23"	1	"A"	2	"A02"	"clareira/taquara"	-54.451109	-27.929873
"Cyclarhis_gujanensis"	"aural"	"06:18"	"06:21"	10	25	TRUE	"2025-09-23"	1	"A"	2	"A02"	"clareira/taquara"	-54.451109	-27.929873
"Dysithamnus_mentalis"	"aural"	"06:18"	"06:21"	25	50	TRUE	"2025-09-23"	1	"A"	2	"A02"	"clareira/taquara"	-54.451109	-27.929873
"Dysithamnus_mentalis"	"aural"	"06:18"	"06:21"	50	Inf	TRUE	"2025-09-23"	1	"A"	2	"A02"	"clareira/taquara"	-54.451109	-27.929873
"Leptotila_verreauxi"	"aural"	"06:18"	"06:21"	10	25	TRUE	"2025-09-23"	1	"A"	2	"A02"	"clareira/taquara"	-54.451109	-27.929873
"Leptotila_verreauxi"	"aural"	"06:18"	"06:21"	25	50	TRUE	"2025-09-23"	1	"A"	2	"A02"	"clareira/taquara"	-54.451109	-27.929873
"Leptotila_verreauxi"	"aural"	"06:18"	"06:21"	25	50	TRUE	"2025-09-23"	1	"A"	2	"A02"	"clareira/taquara"	-54.451109	-27.929873
"Mackenziaena_leachii"	"aural"	"06:18"	"06:21"	25	50	TRUE	"2025-09-23"	1	"A"	2	"A02"	"clareira/taquara"	-54.451109	-27.929873
"Myiodynastes_maculatus"	"aural"	"06:18"	"06:21"	10	25	TRUE	"2025-09-23"	1	"A"	2	"A02"	"clareira/taquara"	-54.451109	-27.929873
"Myiothlypis_leucoblephara"	"aural"	"06:18"	"06:21"	25	50	TRUE	"2025-09-23"	1	"A"	2	"A02"	"clareira/taquara"	-54.451109	-27.929873
